ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
315,Harmonics,C,225.23,318.52,8.91,158.0,56.5,39.14,2.13,27.06,4.0
316,Sag,C,135.38,191.46,,93.0,54.78,14.21,3.36,23.72,1.0
317,Swell,B,279.22,394.87,3.07,280.0,89.15,25.7,1.38,36.53,2.0
318,Harmonics,B,230.43,325.88,12.7,13.0,23.64,44.41,3.16,25.65,4.0
319,Harmonics,A,233.72,330.53,12.07,147.0,,14.16,1.04,28.75,4.0
320,Swell,C,244.42,345.66,4.61,178.0,86.36,24.02,2.21,26.51,2.0
321,Normal,A,225.46,318.85,1.57,56.0,82.6,49.32,4.02,27.86,0.0
322,Harmonics,,225.38,318.74,8.94,296.0,77.84,5.93,2.08,,4.0
323,Normal,C,224.81,317.93,2.33,162.0,21.69,30.2,4.12,34.17,0.0
324,Swell,B,,360.58,4.11,113.0,26.22,9.42,4.21,22.44,2.0
325,Sag,A,,209.54,3.67,260.0,14.67,11.4,1.85,33.3,1.0
326,Harmonics,C,232.11,328.25,11.32,118.0,95.24,27.33,2.52,23.26,4.0
327,Transient,C,233.89,394.12,4.89,87.0,73.33,48.66,2.75,24.7,3.0
328,Swell,A,288.82,408.46,3.51,177.0,14.65,27.72,3.87,37.25,2.0
329,Harmonics,C,230.94,326.59,10.69,160.0,38.49,41.74,3.01,21.42,4.0
330,Swell,A,256.55,362.81,4.18,122.0,11.78,22.58,1.77,28.23,2.0
331,Normal,A,235.05,332.4,1.91,127.0,32.24,21.01,,26.67,0.0
332,Harmonics,B,230.82,326.43,9.88,88.0,20.46,40.14,4.14,32.02,4.0
333,Transient,B,225.18,380.86,5.52,71.0,56.68,13.07,4.88,22.27,3.0
334,Normal,A,229.76,324.93,2.45,228.0,56.77,8.33,3.42,30.34,0.0
335,Swell,B,280.35,396.48,2.58,175.0,97.17,32.16,1.31,21.51,2.0
336,Transient,C,224.98,389.07,4.59,93.0,18.29,29.9,3.57,34.08,
337,Swell,B,281.9,398.67,4.51,242.0,57.32,16.23,1.01,23.48,2.0
338,Swell,B,267.85,378.8,3.78,107.0,,7.27,3.51,27.71,2.0
339,Normal,B,233.51,330.23,2.03,82.0,85.58,13.48,3.69,39.54,0.0
340,Normal,B,238.5,337.29,1.99,253.0,77.35,46.15,2.74,25.17,0.0
341,Harmonics,C,215.9,305.33,11.75,257.0,30.63,29.61,3.68,34.02,4.0
342,Harmonics,C,231.8,327.81,11.7,72.0,42.04,5.71,1.31,38.22,4.0
343,Swell,B,287.05,405.95,3.2,170.0,70.56,8.65,4.81,36.77,2.0
344,Swell,B,251.73,355.99,3.45,100.0,56.93,8.08,2.48,38.42,2.0
345,Swell,A,252.82,357.54,3.78,,87.38,6.58,4.15,28.23,
346,Sag,B,158.31,223.88,1.98,177.0,49.83,34.22,4.75,21.28,1.0
347,Sag,B,164.99,233.33,3.0,194.0,28.1,31.56,2.63,29.39,1.0
348,Transient,A,226.6,381.96,6.11,142.0,80.79,47.41,3.99,34.41,3.0
349,Transient,A,229.21,427.19,4.64,205.0,93.21,24.95,3.21,,3.0
350,Harmonics,A,235.24,332.69,8.6,246.0,37.7,46.12,4.81,26.53,4.0
351,Sag,A,135.9,192.19,2.22,222.0,91.32,8.49,4.32,26.98,
352,Normal,A,232.09,328.22,2.42,85.0,87.29,38.68,2.76,32.21,0.0
353,Harmonics,B,218.39,308.85,6.8,121.0,,12.44,1.01,34.37,4.0
354,Transient,C,223.77,401.1,3.94,171.0,56.73,32.35,1.98,21.15,3.0
355,Swell,C,257.41,364.04,4.7,146.0,47.42,24.3,3.16,33.93,2.0
356,Sag,C,142.1,200.96,3.0,150.0,88.35,33.41,3.13,22.31,1.0
357,Normal,C,223.51,,2.38,137.0,98.24,28.05,1.46,35.3,0.0
358,Swell,A,269.92,381.73,3.54,202.0,11.63,40.67,1.28,29.49,2.0
359,Harmonics,A,222.76,315.03,14.39,165.0,72.75,38.87,2.86,37.48,4.0
360,Normal,A,234.98,332.32,0.96,208.0,50.62,13.25,4.42,37.65,0.0
361,Swell,A,268.13,379.19,3.46,241.0,11.4,17.64,1.83,20.84,2.0
362,Transient,C,229.01,411.44,3.88,229.0,,49.18,2.8,30.27,3.0
363,Transient,C,224.61,386.23,3.12,71.0,43.7,21.63,1.18,27.0,3.0
364,Swell,A,255.29,361.04,4.61,168.0,82.4,39.78,3.19,21.33,2.0
365,Normal,A,227.98,322.41,2.7,218.0,11.32,14.33,3.85,27.73,0.0
366,Transient,A,232.07,403.02,4.82,224.0,64.49,24.49,4.1,37.05,3.0
367,Harmonics,B,224.84,317.97,11.19,278.0,74.15,22.38,3.35,23.71,4.0
368,Harmonics,B,228.15,322.65,5.78,216.0,60.21,31.31,1.53,28.88,4.0
369,Sag,B,149.18,210.98,3.54,248.0,67.31,38.67,1.9,30.57,1.0
370,Transient,B,221.18,394.12,6.56,216.0,80.02,39.24,1.75,21.77,3.0
371,Harmonics,A,232.48,328.78,8.08,174.0,33.36,6.52,4.52,24.87,4.0
372,Harmonics,B,232.28,328.49,12.94,226.0,90.81,44.97,2.3,38.02,4.0
373,Harmonics,C,231.78,,11.01,191.0,73.62,48.53,,38.06,4.0
374,Harmonics,B,231.58,327.5,12.27,172.0,61.4,18.68,2.27,39.22,4.0
375,Swell,C,276.12,390.5,4.71,95.0,11.29,39.4,3.49,35.25,2.0
376,Swell,C,264.02,373.39,1.75,34.0,16.24,33.72,3.93,33.52,2.0
377,Harmonics,C,222.36,314.47,5.94,148.0,93.62,20.39,3.11,24.23,4.0
378,Swell,B,264.47,374.01,3.2,122.0,,47.3,3.02,38.98,2.0
379,Harmonics,B,215.36,304.56,13.57,84.0,25.06,27.52,3.76,33.94,4.0
380,Normal,,235.86,333.55,2.05,73.0,82.92,23.62,1.82,20.85,0.0
381,Sag,B,142.51,201.55,3.95,121.0,12.25,12.71,2.81,29.1,1.0
382,Transient,B,,400.87,5.84,103.0,89.35,31.3,4.34,32.85,3.0
383,Sag,C,145.81,206.2,3.25,159.0,73.24,7.99,1.92,38.31,1.0
384,Transient,C,224.35,412.45,5.94,82.0,99.75,6.35,4.59,32.45,3.0
385,Normal,B,225.98,319.58,2.6,285.0,41.28,24.59,2.58,,0.0
386,Sag,B,148.8,210.43,2.33,299.0,52.75,7.49,,21.5,1.0
387,Harmonics,,229.11,324.01,11.0,81.0,49.58,17.53,4.19,26.53,4.0
388,Harmonics,C,230.1,325.41,8.54,37.0,41.98,35.33,1.25,24.21,4.0
389,Transient,C,228.24,391.74,3.61,287.0,53.61,18.61,3.25,36.08,3.0
390,Harmonics,B,237.56,335.96,9.65,121.0,25.68,44.39,2.77,39.68,4.0
391,Sag,A,138.14,195.36,0.68,98.0,61.69,35.02,4.11,37.24,1.0
392,Harmonics,B,224.08,316.89,8.5,217.0,69.04,,3.75,33.16,4.0
393,Normal,,228.63,323.34,,205.0,47.45,28.12,4.61,37.8,0.0
394,Normal,A,231.31,327.12,1.37,197.0,54.07,34.01,1.92,31.05,0.0
395,Normal,C,225.61,319.06,2.48,129.0,26.67,17.54,1.87,23.66,0.0
396,Sag,B,152.13,215.15,,209.0,60.29,21.7,4.14,25.06,1.0
397,Sag,A,142.82,201.98,2.77,296.0,61.59,20.19,4.95,20.5,1.0
398,Harmonics,B,228.2,322.72,11.62,22.0,66.11,32.01,1.21,27.53,4.0
399,Normal,C,229.29,324.27,1.41,282.0,36.46,15.67,4.79,38.89,0.0
400,Swell,C,272.92,385.97,,238.0,51.97,39.23,1.62,29.75,2.0
401,Sag,A,168.87,238.82,3.12,105.0,43.82,36.87,2.9,33.49,1.0
402,Harmonics,C,230.66,326.2,8.78,125.0,70.3,26.07,4.09,22.47,4.0
403,Transient,A,233.61,390.93,5.97,297.0,14.47,37.61,1.45,32.17,3.0
404,Swell,B,277.57,392.55,3.08,199.0,15.0,30.58,3.61,24.22,2.0
405,Sag,C,138.7,196.15,3.69,65.0,44.86,7.98,1.08,36.54,1.0
406,Normal,A,239.24,338.34,1.69,158.0,96.53,35.05,4.73,25.31,0.0
407,Normal,B,221.79,,1.45,47.0,95.24,44.82,3.96,25.55,
408,Swell,,275.46,389.56,2.94,297.0,58.87,20.61,2.74,35.89,2.0
409,Transient,C,219.89,387.92,4.66,293.0,33.49,,4.34,38.71,3.0
410,Sag,B,139.05,196.64,3.3,246.0,50.2,27.57,1.99,29.42,1.0
411,Sag,B,152.64,215.87,3.73,220.0,91.39,41.78,4.03,21.11,1.0
412,Swell,B,276.35,390.82,2.38,184.0,46.22,44.81,4.58,38.18,2.0
413,Normal,C,238.35,337.08,1.78,158.0,48.7,42.39,1.48,34.7,0.0
414,Normal,B,231.74,327.73,1.63,259.0,22.34,38.02,3.53,31.67,0.0
415,Sag,C,159.11,225.02,3.11,100.0,93.84,41.94,3.27,33.14,1.0
416,Swell,A,283.93,401.53,1.45,209.0,84.39,41.04,1.42,31.54,2.0
417,Harmonics,C,237.58,335.99,11.81,39.0,87.71,15.04,,35.79,4.0
418,Harmonics,B,227.7,322.02,5.42,112.0,97.28,24.41,2.39,21.01,4.0
419,Transient,B,230.12,390.65,3.39,191.0,90.8,38.53,1.31,37.92,3.0
420,Normal,A,231.11,326.83,1.46,175.0,52.0,26.7,4.36,24.42,0.0
421,Harmonics,A,226.82,320.77,14.48,250.0,34.82,14.19,1.07,33.58,4.0
422,Sag,B,154.36,,3.34,14.0,38.06,16.24,3.62,32.38,1.0
423,Transient,A,239.79,434.47,5.75,53.0,20.47,,,33.24,3.0
424,Normal,C,223.88,316.61,2.34,131.0,85.03,41.66,3.45,27.47,0.0
425,Swell,A,269.36,380.93,4.03,137.0,69.23,8.15,2.58,23.64,2.0
426,Swell,A,265.62,375.64,2.96,203.0,60.13,15.41,3.01,34.63,2.0
427,Normal,C,234.47,331.59,1.75,112.0,67.19,33.34,2.61,35.05,0.0
428,Sag,B,138.34,195.64,0.88,182.0,69.22,5.36,4.77,24.74,1.0
429,Transient,B,233.66,395.73,5.98,105.0,34.69,45.57,1.86,37.69,3.0
430,Swell,C,265.27,375.14,4.04,223.0,83.84,24.83,1.53,27.65,2.0
431,Swell,A,278.31,,4.99,85.0,69.36,35.96,1.48,38.77,2.0
432,Sag,C,147.58,208.71,1.71,265.0,92.52,39.93,1.52,31.31,1.0
433,Normal,B,232.86,329.32,2.33,103.0,19.02,,3.65,32.05,0.0
434,Sag,A,158.67,224.39,2.96,,97.72,11.1,1.93,37.37,1.0
435,Transient,C,229.69,392.24,2.92,27.0,87.22,37.9,4.79,35.63,3.0
436,Swell,A,269.11,380.58,3.46,255.0,58.98,17.39,3.84,25.43,2.0
437,Transient,A,236.05,394.62,4.11,17.0,93.74,9.29,2.8,26.75,3.0
438,Transient,B,233.28,379.85,3.54,80.0,14.62,27.16,2.77,26.69,3.0
439,Transient,A,232.51,436.86,4.02,,91.97,29.63,3.94,26.93,
440,Sag,A,143.66,203.17,4.7,39.0,45.27,36.37,1.77,32.83,1.0
441,Harmonics,C,225.67,319.15,6.12,240.0,20.0,34.16,4.5,,4.0
442,Transient,B,223.83,419.57,5.78,14.0,24.07,38.21,2.44,33.43,3.0
443,Harmonics,C,231.23,,1.14,168.0,69.35,31.0,4.46,25.79,4.0
444,Harmonics,B,228.17,322.68,,139.0,65.69,34.94,3.0,32.9,4.0
445,Harmonics,C,221.65,313.46,8.41,13.0,64.29,28.56,2.01,29.42,4.0
446,Swell,B,276.63,391.22,2.78,115.0,87.9,9.63,1.5,39.58,2.0
447,Swell,A,259.94,367.61,3.16,275.0,72.31,15.5,3.5,34.94,2.0
448,Sag,A,157.61,222.9,1.74,31.0,20.98,36.56,1.45,39.94,1.0
449,Sag,A,134.06,189.58,4.69,85.0,12.51,33.02,4.23,36.84,1.0
450,Transient,B,233.45,422.13,4.91,168.0,82.5,22.9,4.22,31.84,3.0
451,Transient,B,238.95,400.25,9.3,119.0,18.09,32.04,2.36,38.35,3.0
452,Transient,A,230.67,397.36,2.61,173.0,65.3,31.15,2.01,35.13,3.0
453,Swell,C,278.74,394.2,3.28,240.0,11.46,37.8,2.29,33.3,2.0
454,Harmonics,A,232.72,329.11,7.37,178.0,51.46,27.45,2.27,37.89,4.0
455,Swell,A,266.22,376.49,4.14,296.0,39.05,29.95,1.59,21.84,2.0
456,Harmonics,A,228.36,322.95,10.24,,17.66,29.7,2.52,32.14,4.0
457,Transient,A,232.77,389.19,2.98,221.0,22.42,8.65,4.32,39.54,3.0
458,Swell,C,280.69,396.96,3.59,29.0,62.44,41.56,2.31,26.11,2.0
459,Normal,A,235.74,333.38,1.98,121.0,21.99,33.46,1.51,,0.0
460,Transient,C,222.11,409.42,4.51,111.0,18.33,40.12,3.69,35.35,3.0
461,Transient,B,236.65,441.72,,52.0,27.66,10.65,4.85,22.16,3.0
462,Sag,A,139.43,197.18,2.04,29.0,68.67,42.46,4.9,29.48,1.0
463,Swell,B,281.04,397.45,3.98,107.0,54.83,36.02,2.01,26.16,2.0
464,Sag,C,138.96,196.52,3.14,272.0,67.69,25.98,1.76,34.03,1.0
465,Transient,B,233.53,395.15,3.46,269.0,45.63,39.03,2.82,28.25,3.0
466,Normal,C,236.15,333.97,1.74,35.0,83.42,26.0,1.31,23.32,0.0
467,Swell,A,266.59,377.02,1.44,182.0,20.36,44.75,2.66,27.75,2.0
468,Harmonics,B,226.57,320.42,15.98,96.0,47.35,37.87,1.54,23.95,4.0
469,Sag,A,142.21,201.11,5.44,239.0,88.14,18.38,1.65,33.51,1.0
470,Transient,B,227.29,383.19,6.01,269.0,59.71,31.79,4.49,31.54,3.0
471,Harmonics,C,225.72,319.22,6.92,292.0,63.35,11.68,1.69,37.58,4.0
472,Swell,A,267.78,,2.35,26.0,57.13,19.36,2.88,30.05,2.0
473,Swell,C,256.08,362.15,2.49,262.0,21.19,44.38,4.88,23.54,2.0
474,Transient,,,390.14,8.95,39.0,70.5,26.66,4.24,39.01,3.0
475,Swell,C,275.32,389.36,4.34,38.0,35.23,10.95,2.76,32.88,2.0
476,Harmonics,B,228.22,322.75,9.47,195.0,49.83,7.18,4.28,36.53,4.0
477,Sag,B,136.44,192.96,3.03,181.0,94.18,25.98,2.78,,1.0
478,Swell,C,252.65,357.3,3.55,128.0,53.05,5.95,4.28,36.5,2.0
479,Harmonics,B,232.88,329.35,10.42,260.0,69.99,8.6,2.77,23.27,4.0
480,Swell,C,285.89,404.3,2.64,15.0,44.66,43.47,4.81,37.67,2.0
481,Sag,A,158.14,223.64,3.02,54.0,59.8,28.42,4.98,24.04,1.0
482,Harmonics,B,224.14,316.98,11.83,122.0,68.1,7.05,4.78,36.84,4.0
483,Normal,A,232.62,328.98,1.18,288.0,99.06,35.79,4.8,22.85,0.0
484,Harmonics,C,230.6,326.11,9.21,101.0,67.76,23.49,2.96,28.31,4.0
485,Transient,A,227.49,392.97,5.09,15.0,75.58,19.19,2.57,24.74,3.0
486,Normal,B,230.69,,1.74,75.0,62.89,10.06,2.33,35.63,0.0
487,Harmonics,,225.51,318.92,6.06,156.0,99.33,15.83,4.5,36.61,4.0
488,Transient,B,241.54,396.42,6.01,284.0,40.08,37.89,2.68,31.57,3.0
489,Swell,B,,402.27,,186.0,96.15,45.06,3.61,29.19,2.0
490,Harmonics,B,230.19,325.54,13.42,25.0,66.95,39.6,4.98,20.22,4.0
491,Harmonics,A,239.85,339.2,6.88,74.0,41.89,18.63,3.92,34.01,
492,Harmonics,A,229.08,323.97,14.49,112.0,59.81,30.66,1.84,34.85,4.0
493,Swell,C,288.58,408.11,4.7,143.0,39.75,38.51,2.65,23.92,2.0
494,Harmonics,A,226.88,320.86,6.67,255.0,47.72,31.97,3.05,25.76,4.0
495,Sag,A,149.64,211.63,3.84,47.0,18.22,19.34,1.42,22.57,1.0
496,Harmonics,B,229.13,324.04,7.33,250.0,42.55,10.64,2.01,32.84,4.0
497,Normal,B,229.69,324.83,2.47,230.0,82.91,24.34,4.0,38.26,0.0
498,Normal,C,230.92,326.58,1.53,43.0,49.24,31.73,3.36,,0.0
499,Normal,B,227.57,321.83,2.04,97.0,46.03,41.53,1.06,32.99,0.0
500,,A,223.53,316.12,1.44,281.0,,30.08,3.83,33.25,0.0
501,Sag,B,139.7,197.56,3.06,118.0,74.81,17.92,4.52,20.98,1.0
502,Normal,A,230.37,325.8,1.8,83.0,92.06,6.81,3.05,33.61,0.0
503,Transient,B,223.19,411.19,5.28,188.0,89.77,11.81,1.61,26.57,3.0
504,Normal,C,239.63,338.89,1.48,79.0,43.03,11.63,1.83,26.27,0.0
505,Harmonics,C,227.49,321.72,,153.0,,42.13,4.18,26.47,4.0
506,Swell,B,266.61,377.04,3.87,109.0,43.9,20.27,1.25,29.72,2.0
507,Swell,C,261.89,370.37,2.39,51.0,59.13,46.68,4.49,35.7,2.0
508,Transient,A,232.22,383.49,5.22,183.0,68.12,27.98,1.48,26.24,3.0
509,Swell,B,273.64,386.99,2.67,193.0,,47.46,4.49,25.79,2.0
510,Swell,B,268.91,380.29,2.74,205.0,66.25,33.73,2.23,37.19,2.0
511,Normal,C,230.89,326.53,2.6,50.0,83.85,35.45,3.54,28.04,0.0
512,Harmonics,C,229.58,324.68,17.46,57.0,84.66,36.92,1.42,36.78,4.0
513,Harmonics,B,231.32,327.14,7.66,59.0,37.57,19.67,1.28,27.0,4.0
514,Sag,C,145.76,206.14,1.61,199.0,94.79,18.42,4.1,27.86,1.0
515,Transient,B,233.97,408.48,5.06,88.0,42.15,20.48,3.08,28.81,3.0
516,Harmonics,C,226.64,320.52,9.61,218.0,50.61,44.11,3.12,29.36,4.0
517,Harmonics,B,226.89,320.87,11.75,131.0,70.62,11.18,2.11,20.92,4.0
518,Transient,C,219.91,402.9,6.19,114.0,61.37,26.54,,22.11,3.0
519,,B,268.78,380.11,2.79,260.0,16.08,37.58,4.72,28.61,2.0
520,Transient,C,232.61,356.46,5.27,68.0,65.92,37.34,1.44,20.71,3.0
521,Sag,B,148.94,210.63,2.55,191.0,40.71,24.99,3.7,30.18,1.0
522,Sag,C,147.88,209.13,4.5,80.0,53.49,49.41,4.02,24.97,1.0
523,Normal,B,228.8,323.57,2.46,294.0,73.57,20.55,1.03,28.07,
524,Swell,C,271.16,383.47,2.38,92.0,48.53,7.76,1.9,27.27,2.0
525,Harmonics,B,219.62,310.59,9.74,40.0,40.54,36.9,4.98,26.29,4.0
526,Normal,A,225.08,318.31,2.5,123.0,27.11,41.96,3.18,21.56,0.0
527,Swell,C,287.1,406.02,3.33,70.0,53.46,14.55,1.46,36.73,2.0
528,Swell,C,270.54,382.59,3.74,171.0,43.93,22.7,3.18,23.2,2.0
529,Swell,A,260.66,368.63,4.11,149.0,81.68,38.28,3.58,23.12,2.0
530,Harmonics,B,236.57,334.56,8.68,54.0,26.74,47.79,1.84,25.22,4.0
531,Swell,A,266.17,376.42,3.38,64.0,45.3,47.65,1.56,35.27,2.0
532,Normal,B,,342.1,2.08,163.0,79.12,33.29,3.53,29.01,0.0
533,Normal,C,235.91,333.63,2.24,114.0,40.13,19.12,3.54,27.12,0.0
534,Sag,B,162.38,229.64,3.38,218.0,48.34,48.55,3.63,31.29,1.0
535,Transient,A,238.04,,6.64,196.0,82.08,13.11,1.44,37.67,3.0
536,Normal,B,227.69,322.0,1.45,34.0,64.88,15.84,2.55,21.61,0.0
537,Normal,B,235.74,333.38,2.0,146.0,40.86,10.02,3.28,31.63,
538,Sag,C,147.84,209.08,3.32,161.0,17.29,44.45,3.92,26.03,1.0
539,Harmonics,A,238.27,,6.71,166.0,40.49,47.84,3.95,31.95,4.0
540,Swell,C,255.23,360.95,3.36,280.0,29.49,44.27,1.35,29.75,2.0
541,Sag,B,146.54,207.24,3.3,190.0,27.13,46.27,3.21,25.98,1.0
542,Transient,C,229.49,389.18,6.6,,86.36,21.35,,38.82,3.0
543,Transient,B,232.15,407.59,4.17,127.0,70.64,25.27,4.0,27.14,3.0
544,Transient,C,229.35,411.72,3.89,163.0,28.37,18.14,3.99,29.65,3.0
545,,B,269.13,380.6,4.05,58.0,90.82,28.63,3.83,25.04,2.0
546,Sag,B,151.37,214.08,5.09,243.0,97.96,15.91,3.65,36.78,1.0
547,Transient,B,233.25,408.68,4.98,109.0,47.65,18.92,4.75,,3.0
548,Harmonics,B,233.61,330.38,13.02,60.0,27.26,30.0,3.34,24.14,4.0
549,Harmonics,C,227.25,321.38,10.29,78.0,26.36,24.37,1.66,34.13,4.0
550,Harmonics,A,229.28,324.25,10.47,276.0,73.39,46.79,3.95,26.13,4.0
551,Sag,B,131.66,,3.05,43.0,14.75,37.67,1.49,26.06,1.0
552,Swell,B,277.69,392.71,2.81,115.0,74.06,45.43,3.33,22.48,2.0
553,Transient,A,229.86,410.12,7.17,276.0,66.1,32.11,2.96,30.57,
554,Swell,A,274.15,387.71,2.84,221.0,33.17,39.85,2.54,30.13,
555,Sag,B,154.44,218.4,1.3,176.0,90.41,22.45,2.15,34.49,1.0
556,Harmonics,C,219.61,310.58,9.04,154.0,66.12,7.84,2.3,33.46,4.0
557,Harmonics,B,241.95,342.17,11.13,48.0,53.51,24.31,1.3,22.12,4.0
558,Transient,B,226.42,387.8,7.36,291.0,51.96,40.64,2.61,28.5,3.0
559,Harmonics,A,230.14,325.47,11.14,222.0,32.58,9.53,2.57,32.33,4.0
560,Swell,B,287.51,406.6,5.18,263.0,38.4,9.8,2.47,21.99,2.0
561,Transient,A,239.22,414.14,9.12,98.0,35.67,33.38,2.82,,3.0
562,Swell,B,260.36,368.21,2.35,27.0,92.15,32.47,3.19,,2.0
563,Harmonics,B,230.42,325.86,5.44,259.0,77.66,45.78,3.97,30.66,4.0
564,Harmonics,A,226.31,320.05,10.54,,86.59,,1.14,34.92,4.0
565,Normal,A,234.81,332.07,1.88,178.0,21.82,18.94,1.81,38.18,0.0
566,Transient,A,224.05,421.08,5.86,,72.62,47.49,4.98,29.01,3.0
567,Harmonics,B,226.48,320.29,8.83,198.0,98.72,42.74,4.23,26.36,4.0
568,Transient,A,228.47,426.22,4.66,229.0,55.48,23.14,3.54,32.42,3.0
569,Swell,B,259.01,366.3,4.92,190.0,39.9,36.54,4.06,38.59,2.0
570,Sag,B,141.37,199.93,1.38,19.0,37.4,49.23,3.57,34.35,1.0
571,Normal,A,222.79,315.08,1.74,18.0,88.26,13.13,4.79,24.38,0.0
572,Sag,A,144.12,203.81,4.42,,50.01,38.41,1.91,21.17,1.0
573,Harmonics,B,225.59,319.03,5.73,282.0,46.0,7.58,3.33,37.69,4.0
574,Sag,B,166.84,235.95,4.0,141.0,73.1,23.48,3.02,20.15,1.0
575,Swell,,281.59,398.23,3.55,89.0,58.25,37.28,2.77,38.78,2.0
576,Transient,B,238.1,396.91,6.19,133.0,16.19,29.74,,37.55,3.0
577,Sag,C,154.11,217.95,3.22,160.0,97.47,28.07,2.16,29.39,1.0
578,Harmonics,B,236.31,334.2,13.58,71.0,56.19,37.19,4.89,24.03,4.0
579,Normal,B,237.83,336.34,1.76,203.0,40.87,49.47,2.94,23.58,0.0
580,Harmonics,C,225.17,318.44,5.11,137.0,14.52,9.35,3.88,25.64,4.0
581,Harmonics,A,228.35,322.93,,78.0,11.75,13.5,2.66,38.72,4.0
582,Swell,A,270.72,382.85,3.34,117.0,45.03,44.93,4.58,26.72,2.0
583,Harmonics,A,234.68,331.89,12.92,129.0,52.5,19.59,4.81,36.47,4.0
584,Normal,C,230.59,326.1,1.6,162.0,49.56,27.97,2.04,26.33,0.0
585,Harmonics,C,230.75,326.33,9.75,207.0,40.14,30.69,4.64,20.12,4.0
586,Sag,B,160.91,227.56,3.18,200.0,64.92,47.41,4.15,20.48,1.0
587,Sag,A,154.35,218.29,4.86,255.0,58.44,29.0,2.62,23.38,1.0
588,Normal,A,227.59,321.86,2.0,205.0,58.94,36.27,3.06,39.81,0.0
589,Transient,C,235.89,403.55,1.85,220.0,40.42,36.75,1.75,35.01,3.0
590,Sag,,151.64,214.46,5.2,,,34.45,4.49,24.88,1.0
591,Sag,B,142.43,201.42,2.76,210.0,31.96,48.5,4.83,24.95,1.0
592,Transient,B,234.4,409.92,6.08,244.0,25.57,17.0,1.48,24.61,3.0
593,Transient,C,228.36,394.55,5.36,194.0,14.31,47.68,3.84,20.14,3.0
594,Transient,B,229.66,407.28,8.14,26.0,31.74,35.66,3.86,32.15,3.0
595,,B,134.88,190.75,3.15,188.0,28.99,42.87,1.12,36.88,1.0
596,Sag,B,143.42,202.83,3.39,83.0,20.71,8.1,2.93,24.4,1.0
597,Harmonics,C,229.14,324.06,6.83,97.0,31.49,14.61,2.64,34.08,4.0
598,Swell,B,271.26,383.62,2.36,13.0,88.44,23.83,2.78,26.07,2.0
599,Swell,A,270.29,382.25,3.54,150.0,42.37,35.93,2.25,21.22,2.0
600,Normal,C,221.27,312.93,1.69,31.0,37.37,41.52,2.18,28.93,0.0
601,Harmonics,A,227.38,321.57,12.04,129.0,51.22,22.86,2.72,31.39,4.0
602,Swell,C,258.46,365.52,1.44,126.0,61.24,33.43,3.07,21.02,2.0
603,Swell,B,266.83,377.35,1.69,29.0,39.05,16.61,2.86,22.67,2.0
604,Normal,C,227.75,322.08,1.38,100.0,65.9,18.58,4.6,32.57,0.0
605,Transient,A,229.18,399.99,4.15,61.0,33.9,41.3,2.01,36.47,3.0
606,Harmonics,B,229.99,325.25,13.35,88.0,22.01,36.12,4.18,,4.0
607,Swell,A,300.93,425.57,2.04,178.0,34.04,45.98,2.74,22.58,2.0
608,Transient,A,226.67,403.96,4.09,,44.66,47.43,3.44,36.7,3.0
609,Sag,A,145.96,206.41,5.77,191.0,67.52,20.34,4.99,25.27,1.0
610,Harmonics,A,231.34,327.17,13.24,48.0,97.7,48.9,1.26,36.44,4.0
611,Sag,C,159.43,225.47,3.04,168.0,32.96,39.55,4.01,31.77,1.0
612,Swell,A,280.49,396.67,4.7,267.0,51.73,40.29,4.79,25.5,2.0
613,Transient,,231.72,385.06,5.07,186.0,98.29,34.78,4.27,34.99,3.0
614,Sag,A,140.09,198.11,3.92,263.0,70.02,9.61,1.05,22.79,1.0
615,Harmonics,A,221.09,312.67,3.31,164.0,83.91,16.01,2.69,36.78,4.0
616,Swell,C,262.65,371.45,1.48,30.0,32.88,33.4,1.1,34.41,2.0
617,Sag,A,166.25,,4.3,274.0,18.22,39.05,3.33,23.73,1.0
618,Transient,A,228.02,375.06,4.8,111.0,14.41,30.77,4.28,26.53,3.0
619,Normal,A,232.83,329.27,1.97,229.0,74.41,35.91,4.57,33.79,0.0
620,Normal,A,232.45,328.74,2.43,96.0,66.55,13.28,1.42,36.26,0.0
621,Harmonics,B,232.09,328.22,13.27,91.0,85.1,7.53,3.99,37.02,4.0
622,Transient,A,226.51,372.11,6.58,126.0,13.01,31.09,1.67,34.24,3.0
623,Swell,A,275.51,389.63,2.22,33.0,22.98,39.15,3.0,38.24,2.0
624,Swell,C,257.63,364.35,4.18,258.0,41.57,,2.97,38.23,2.0
625,Harmonics,B,231.15,326.89,9.87,112.0,91.55,7.5,4.33,29.16,4.0
626,Transient,A,232.49,394.11,5.44,141.0,59.11,35.78,1.76,30.42,3.0
627,Transient,B,226.29,388.22,3.6,45.0,22.95,9.71,2.69,35.91,3.0
628,Swell,A,273.48,386.76,2.6,190.0,59.05,8.91,1.95,23.3,2.0
629,Normal,C,223.64,316.27,1.68,56.0,33.95,6.76,2.82,37.82,0.0
630,Swell,B,275.01,388.92,2.62,68.0,71.71,15.18,1.53,37.74,2.0
631,Sag,A,152.17,215.2,2.7,91.0,44.46,33.38,2.72,28.76,1.0
632,Swell,B,261.15,369.31,3.66,180.0,25.73,44.36,3.95,25.06,2.0
